"rel_type","child_part_num","parent_part_num"
"P","973pr2911c01","973c00"
"T","57562pat0001","57562"
"M","fabbc1b","fabbc1"
"P","98603s02pr0003","98603"
"M","3614b","3614"
"P","98138pr0030","98138"
"P","3626cpr9908","3626c"
"M","3321b","3321"
"P","973pr2605c01","973c00"
"P","973pr3048c01","973c00"
"M","clikits015ae","clikits015a"
"M","2680b","2680"
"P","92456pr0066c01","92456c01"
"P","973pr3049c01","973c00"
"P","2454pa0","2454a"
"M","x469b","x469"
"P","973pr3055c01","973c00"
"T","62723pat0001","62723"
"P","3626cpr1700","3626c"
"M","10a","10"
"M","3005ptzb","3005ptz"
"M","4212b","4212"
"P","973pr3052c01","973c00"
"P","18731c01pr0001","18731c01"
"P","973pr3064c01","973c00"
"P","11245pr0002","11245"
"P","87990pr0002","87990"
"M","3005pt5b","3005pt5"
"P","98099pr0001","98099"
"M","3962a","3962"
"P","970x151pr0097","970c00"
"M","x469bc","x469b"
"M","ftpinepf","ftpinep"
"P","973pr2008c01","973c00"
"P","89973pr0001","89973"
"P","6171pr01","6171"
"M","4229b","4229"
"P","973pr2344c01","973c00"
"M","3855b","3855"
"P","3626cpr2587","3626c"
"P","98834pr0002","98834"
"M","x586c01b","x586c01"
"P","19981pr0038","19981"
"P","3070bpr0150","3070b"
"M","51991d","51991"
"P","3626cpr0895","3626c"
"M","6895b","6895"
"P","3626cpr1752","3626c"
"P","2528pr0008","2528"
"P","973pb0161c01","973c00"
"P","973pr2188c01","973c00"
"M","3037b","3037"
"M","3005ptcb","3005ptc"
"M","clikits015b","clikits015"
"M","3005ptrb","3005ptr"
"P","15553pr0001","15553"
"M","3005ptuub","3005ptuu"
"P","15626pr0004","15626"
"M","x469ba","x469b"
"M","2871b","2871"
"M","6895a","6895"
"P","90462pr0003","90462"
"P","973pb1516c01","973c00"
"M","wheel1a","wheel1"
"P","973pb0162c01","973c00"
"P","15210pr0001","15210"
"M","2609a","2609"
"P","973pb0163c01","973c00"
"M","604c","604"
"M","3005ptaeb","3005ptae"
"M","4751c","4751"
"M","fabbc1c","fabbc1"
"M","645a","645"
"P","973pb1600c01","973c00"
"M","4275b","4275"
"M","2350b","2350"
"T","57549pat0001","57549"
"M","715a","715"
"P","973pr1510c01","973c00"
"P","973pr1490c01","973c00"
"M","4751b","4751"
"P","973pr1511c01","973c00"
"M","sc003d","sc003"
"T","57552pat0001","57552"
"M","6934b","6934"
"P","973pr1616c01","973c00"
"P","3626cpr0726","3626c"
"P","54873pr0001","54873"
"M","3852b","3852"
"M","4345a","4345"
"P","973pr0145c01","973c00"
"P","14769pr0004","14769"
"P","973pr2330c01","973c00"
"M","820b","820"
"M","3471a","3471"
"A","3007a","3007"
"P","98160pr0005","98160"
"P","87552pr0001b","87552"
"M","tech011a","tech011"
"M","3470a","3470"
"M","x547b","x547"
"M","4617b","4617"
"M","4616a","4616"
"M","3229a","3229"
"T","57553pat0001","57553"
"P","3626cpr6175942","3626c"
"T","60898pat0001","60898"
"T","60907pat0001","60907"
"T","64260pat0001","64260"
"T","64268pat0001","64268"
"T","64269pat0001","64269"
"P","973pr2313c01","973c00"
"M","3005pt1b","3005pt1"
